,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N)
69,9.68,-20.982290557521125,-0.36621005483886027,-0.00777878,-0.0040522340839282784,-0.40553582516339914,-0.1599620606426749,-0.3726545916071721
70,8.8,-19.290933235470327,-0.33669030074135975,-0.00686678,-0.003568205156893059,-0.35743634870558755,-0.13767637204764846,-0.32985748431069417
71,7.920000000000001,-17.595166498294976,-0.3070935878318486,-0.0058617800000000005,-0.00303775032338519,-0.30469712886420947,-0.11440674890093305,-0.28240296766148104
72,7.040000000000001,-15.894646680133963,-0.27741391800952364,-0.004791780000000001,-0.002476072742180216,-0.24876659224577322,-0.09088353194271512,-0.2315707257819785
73,6.160000000000001,-14.189050363914173,-0.24764564658160193,-0.0036037800000000004,-0.0018564905992049159,-0.18688342604767294,-0.06629639831851791,-0.17472894007950845
74,5.280000000000001,-12.47807469778556,-0.21778348778615442,-0.0022827800000000003,-0.0011721858167146983,-0.11826413989954779,-0.040647415498507915,-0.1110594183285302
75,4.400000000000001,-10.76143791282871,-0.1878225238278075,-0.0010567800000000002,-0.000540817789803958,-0.05470256940017833,-0.018171435702152922,-0.05159622101960422
76,3.5200000000000014,-9.038880034281084,-0.15775821729098283,-0.0002567800000000002,-0.00013094950771204512,-0.0132823460689373,-0.00425295064640103,-0.012583049228795508
77,2.6400000000000015,-7.3101637793049905,-0.1275864268089042,0.0005042199999999998,0.00025620511045818927,0.026066303340933246,0.008021116849740004,0.02480148895418105
78,1.7600000000000016,-5.575075634669077,-0.09730342587268792,0.0016052199999999997,0.0008126110846141877,0.08294578232471791,0.024448187621350467,0.0792608915385812
79,0.8800000000000017,-3.8334271076518065,-0.06690592466372713,0.0033642199999999994,0.001696583966595109,0.17377953866770357,0.048879736706082255,0.166763603340489
80,1.7763568394002505e-15,-2.085056143015616,-0.036391094784556266,0.00519322,0.0026087953234497255,0.26820042048330495,0.07168651518801623,0.25844246765502743
81,-0.8799999999999981,-0.3298286980415893,-0.005756596748391907,0.007190219999999999,0.0035977817150242434,0.3713021845106379,0.09385725282990297,0.3592438284975755
82,-1.759999999999998,1.4323595336299044,0.024999389934172278,0.00891022,0.004440739183468853,0.4601409592762224,0.10939430839967348,0.44694808165311467
83,-2.639999999999998,3.2015812602379166,0.05587813426130106,0.01076722,0.005344876599186789,0.556132775864554,0.12355397536052261,0.542234340081321
84,-3.519999999999998,4.977875605116675,0.08688031906399107,0.01265222,0.006255610398102156,0.6536878917608224,0.1346911869566517,0.6396609601897845
85,-4.399999999999998,6.761246010163961,0.11800600441469111,0.01445922,0.00712077451655752,0.7473690795800093,0.1415369915523742,0.7338445483442481
86,-5.279999999999998,8.551658047565342,0.14925458943468506,0.01638422,0.008037249284457253,0.8473484881035608,0.14587754806723313,0.834697071554275
87,-6.1599999999999975,10.349037160829965,0.18062477286772882,0.018179220000000003,0.008883535661855327,0.9408471800606041,0.14524442531026321,0.9295684338144675
88,-7.039999999999997,12.153266359522746,0.21211451284553684,0.01986922,0.009672977014522683,1.0291913623527855,0.14000410762770069,1.0196242985477317
89,-7.919999999999997,13.964183895639666,0.24372098633288042,0.021519220000000002,0.010438184286207557,1.1157835662646096,0.13068833858739684,1.1081035713792444
90,-8.799999999999997,15.781580953284575,0.27544054880484126,0.023365220000000003,0.011294025007989594,1.2129171875319702,0.11845091160093513,1.207119499201041
91,-9.679999999999996,17.605199387090142,0.30726869477481067,0.025100220000000003,0.01209231751545626,1.304727368964166,0.10128295439096759,1.300790248454374
92,-10.559999999999995,19.434729548558824,0.33920001985698267,0.02698522,0.0129597187410127,1.404837356286772,0.08013202830493678,1.40255012589873
93,-11.439999999999994,21.26980824307092,0.3712281851094179,0.028916220000000003,0.013846668427501605,1.507927229863835,0.05413579779526821,1.5069551572498399
94,-12.319999999999993,23.11001686354566,0.40334588446028485,0.030961220000000005,0.014786486472220198,1.6176368601014675,0.022999221988846134,1.6174733527779808
95,-13.199999999999992,24.954879749506063,0.43554481606813855,0.032882220000000004,0.015666534134311995,1.7216236612074025,-0.013770714167481227,1.7215685865688009
96,-14.079999999999991,26.803862822388126,0.4678156585035729,0.03519422,0.016733343225784438,1.8469602867992918,-0.056767845529018535,1.8460876774215562
97,-14.95999999999999,28.656372549181444,0.5001480526613369,0.03760522,0.017848715800552768,1.9785349010210982,-0.10679781238772476,1.9756504199447236
