n,t,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,
230,1.074766,0.20502,0.066119,0.342707,,,,,,,,,,,,,,,,,,,,,,,,
231,1.079439,0.205009,0.066135,0.342697,,,,,,,,,,,,,,,,,,,,,,,,
232,1.084112,0.20501,0.066139,0.34269,,,,,,,,,,,,,,,,,,,,,,,,
233,1.088785,0.205006,0.066148,0.342685,,,,,,,,,,,,,,,,,,,,,,,,
234,1.093458,0.204999,0.066159,0.342679,,,,,,,,,,,,,,,,,,,,,,,,
235,1.098131,0.20499,0.066163,0.342674,,,,,,,,,,,,,,,,,,,,,,,,
236,1.102804,0.204986,0.066169,0.342673,,,,,,,,,,,,,,,,,,,,,,,,
237,1.107477,0.204987,0.066169,0.342671,,,,,,,,,,,,,,,,,,,,,,,,
238,1.11215,0.204974,0.066186,0.342666,,,,,,,,,,,,,,,,,,,,,,,,
239,1.116822,0.20498,0.06618,0.342666,,,,,,,,,,,,,,,,,,,,,,,,
240,1.121495,0.204972,0.066196,0.342659,,,,,,,,,,,,,,,,,,,,,,,,
241,1.126168,0.204972,0.066199,0.342662,,,,,,,,,,,,,,,,,,,,,,,,
242,1.130841,0.204957,0.066215,0.342655,,,,,,,,,,,,,,,,,,,,,,,,
243,1.135514,0.204971,0.066199,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
244,1.140187,0.204971,0.066211,0.342654,,,,,,,,,,,,,,,,,,,,,,,,
245,1.14486,0.204966,0.066216,0.342657,,,,,,,,,,,,,,,,,,,,,,,,
246,1.149533,0.20498,0.066203,0.342658,,,,,,,,,,,,,,,,,,,,,,,,
247,1.154206,0.204979,0.066204,0.342657,,,,,,,,,,,,,,,,,,,,,,,,
248,1.158879,0.204972,0.066207,0.342655,,,,,,,,,,,,,,,,,,,,,,,,
249,1.163551,0.204968,0.066218,0.342647,,,,,,,,,,,,,,,,,,,,,,,,
250,1.168224,0.204982,0.066204,0.342656,,,,,,,,,,,,,,,,,,,,,,,,
251,1.172897,0.204967,0.066221,0.342655,,,,,,,,,,,,,,,,,,,,,,,,
252,1.17757,0.204978,0.066201,0.342659,,,,,,,,,,,,,,,,,,,,,,,,
253,1.182243,0.204963,0.066227,0.342652,,,,,,,,,,,,,,,,,,,,,,,,
254,1.186916,0.204962,0.066231,0.342649,,,,,,,,,,,,,,,,,,,,,,,,
255,1.191589,0.204962,0.066236,0.342649,,,,,,,,,,,,,,,,,,,,,,,,
256,1.196262,0.204951,0.066244,0.342645,,,,,,,,,,,,,,,,,,,,,,,,
257,1.200935,0.204962,0.066233,0.342645,,,,,,,,,,,,,,,,,,,,,,,,
258,1.205607,0.204966,0.066231,0.342646,,,,,,,,,,,,,,,,,,,,,,,,
259,1.21028,0.204951,0.066251,0.34264,,,,,,,,,,,,,,,,,,,,,,,,
260,1.214953,0.204953,0.066247,0.342641,,,,,,,,,,,,,,,,,,,,,,,,
261,1.219626,0.204946,0.066254,0.342637,,,,,,,,,,,,,,,,,,,,,,,,
262,1.224299,0.204942,0.066259,0.342635,,,,,,,,,,,,,,,,,,,,,,,,
263,1.228972,0.204933,0.066268,0.342635,,,,,,,,,,,,,,,,,,,,,,,,
264,1.233645,0.204938,0.06626,0.342635,,,,,,,,,,,,,,,,,,,,,,,,
265,1.238318,0.204941,0.066251,0.34264,,,,,,,,,,,,,,,,,,,,,,,,
266,1.242991,0.204944,0.066239,0.342644,,,,,,,,,,,,,,,,,,,,,,,,
267,1.247664,0.204952,0.066224,0.342653,,,,,,,,,,,,,,,,,,,,,,,,
268,1.252336,0.204958,0.066213,0.342654,,,,,,,,,,,,,,,,,,,,,,,,
269,1.257009,0.204959,0.066219,0.342651,,,,,,,,,,,,,,,,,,,,,,,,
270,1.261682,0.204966,0.066212,0.342655,,,,,,,,,,,,,,,,,,,,,,,,
271,1.266355,0.204972,0.066198,0.342658,,,,,,,,,,,,,,,,,,,,,,,,
272,1.271028,0.204989,0.066176,0.342672,,,,,,,,,,,,,,,,,,,,,,,,
273,1.275701,0.20499,0.066167,0.342677,,,,,,,,,,,,,,,,,,,,,,,,
274,1.280374,0.205002,0.066149,0.342689,,,,,,,,,,,,,,,,,,,,,,,,
275,1.285047,0.205012,0.066135,0.342691,,,,,,,,,,,,,,,,,,,,,,,,
276,1.28972,0.205,0.066137,0.34269,,,,,,,,,,,,,,,,,,,,,,,,
277,1.294393,0.205011,0.066126,0.342696,,,,,,,,,,,,,,,,,,,,,,,,
278,1.299065,0.205016,0.06612,0.342698,,,,,,,,,,,,,,,,,,,,,,,,
279,1.303738,0.205012,0.066123,0.342696,,,,,,,,,,,,,,,,,,,,,,,,
